Municipality or First Nation,Store Name,Address,Store Application Status
NEPEAN,Tokyo Smoke Chapman Mills,80 MARKETPLACE AVE UNIT J009,Authorized to Open
NEPEAN,Tweed,2162 PRINCE OF WALES DR,Public Notice Period: Ended 2022/02/07
NEPEAN,Tweed,299 GREENBANK RD,In Progress
NEPEAN,UNCLE HERBS CANNABIS,1527 MERIVALE RD,Public Notice Period: Ended 2021/02/19
NESTOR FALLS,Cannabis North,1624D HWY 71,Public Notice Period: Ended 2023/04/12
NEW HAMBURG,VIP Cannabis Company,179 UNION ST UNIT 5,Authorized to Open
NEW LISKEARD,POP'S CANNABIS CO. NEW LISKEARD,883303 HIGHWAY 65 UNIT 11,Authorized to Open
NEW LISKEARD,T CANNABIS,9 ARMSTRONG ST N,Authorized to Open
NEW LISKEARD,True North Cannabis Co.,324 WHITEWOOD AVE,Authorized to Open
NEWCASTLE,Central Plains Cannabis,34 BEAVER ST N,Authorized to Open
NEWCASTLE,Your Local Cannabis,45 KING AVE W UNIT 2&3,Authorized to Open
NIAGARA FALLS,Buds 4 Less Cannabis Outlet,7500 LUNDY'S LANE UNIT C14-E,Authorized to Open
NIAGARA FALLS,Canna Cabana,7555 MONTROSE RD UNIT E3,Authorized to Open
NIAGARA FALLS,CANNA CABANA NIAGARA FALLS,5731 VICTORIA AVE,Authorized to Open
NIAGARA FALLS,Cannaverse,8189 LUNDY'S LANE UNIT 3,Authorized to Open
NIAGARA FALLS,Capturing Eden,8209 LUNDY'S LANE UNIT B,Authorized to Open
NIAGARA FALLS,Happy Hippy Cannabis Store,8194 CUMMINGTON SQ W,Authorized to Open
NIAGARA FALLS,Happy Hippy Cannabis Store,3464 CATTELL DR UNIT 4,Authorized to Open
NIAGARA FALLS,High End Cannabis Co.,6080 MCLEOD RD UNIT 5,Authorized to Open
NIAGARA FALLS,Honeypot Smoke Shop,6832 DRUMMOND RD,Authorized to Open
NIAGARA FALLS,Kootenay Cannabis,5927 THOROLD STONE RD,Authorized to Open
NIAGARA FALLS,MOONWLKR CANNABIS,5894 MAIN ST,Authorized to Open
NIAGARA FALLS,NEOLITIC,4665 QUEEN ST,Authorized to Open
NIAGARA FALLS,OFFSIDE CANNABIS,6474 LUNDY'S LANE,Authorized to Open
NIAGARA FALLS,On The Ridge Co. Cannabis,6915 LUNDY'S LANE,Authorized to Open
NIAGARA FALLS,ON THE RIDGE CO. CANNABIS,5440 STANLEY AVE UNIT 2,Authorized to Open
NIAGARA FALLS,PARADISE CANNABIS,4025 DORCHESTER RD UNIT A3,Authorized to Open
NIAGARA FALLS,POT SPOT,5365 FERRY ST UNIT 2,Authorized to Open
NIAGARA FALLS,Stok'd Cannabis ,5736 STANLEY AVE,Authorized to Open
NIAGARA FALLS,The Hunny Pot Cannabis Co.,7481 OAKWOOD DR,Authorized to Open
NIAGARA FALLS,The Hunny Pot Cannabis Co.,6161 THOROLD STONE RD UNIT 5,Authorized to Open
NIAGARA FALLS,TOKE CANNABIS,8568 LUNDY'S LANE,Authorized to Open
NIAGARA FALLS,True North Cannabis Company,4695 QUEEN ST,Authorized to Open
NIAGARA FALLS,Value Buds,3714 PORTAGE RD UNIT 210,Authorized to Open
NIAGARA FALLS,Wonder Buds Cannabis,4635-A  QUEEN ST,Authorized to Open
NIPIGON,Gram's Smokey Dreams,2 FRONT STREET,Authorized to Open
NOELVILLE,CABANE A JOE,142 ST DAVID ST N UNIT 2,Authorized to Open
NORTH BAY,BUDSSMOKE,1236 ALGONQUIN AVE UNIT B,Authorized to Open
NORTH BAY,C Shop,1 LAURENTIAN AVE,Authorized to Open
NORTH BAY,Cannabis Jacks,1881 CASSELLS ST,Authorized to Open
NORTH BAY,Cheerful Charlies Cannabis Co.,16 OSPREY MIIKAN RD,Authorized to Open
NORTH BAY,Fire & Flower Cannabis Co.,2021 ALGONQUIN AVE SUITE 102,Authorized to Open
NORTH BAY,GOLDEN HARVEST,71 17 HWY W,Authorized to Open
NORTH BAY,Golden Harvest,1 JOCKO POINT RD,In Progress
NORTH BAY,Happy Life,1307 ALGONQUIN AVE SUITE 1,Authorized to Open
NORTH BAY,Happy Life,42 LAKESHORE DR,Authorized to Open
NORTH BAY,Kana Leaf,2 OSPREY MIIKAN RD,Authorized to Open
NORTH BAY,Kana Leaf Express,20 JOCKO POINT RD,In Progress
NORTH BAY,Miss Jones,955 MCKEOWN AVE UNIT 2,Authorized to Open
NORTH BAY,Miss Jones,300 LAKESHORE DR UNIT 727,Authorized to Open
NORTH BAY,Northern Zen Cannabis,76 OSPREY MIIKAN RD,Authorized to Open
NORTH BAY,One Plant North Bay,1899 ALGONQUIN AVE UNIT 125,Authorized to Open
NORTH BAY,TOKYO SMOKE NORTH BAY,390 LAKESHORE DR SUITE 3,Authorized to Open
NORTH BAY,True North Cannabis Co. ,1720 ALGONQUIN AVE,Authorized to Open
NORTH BAY,True North Cannabis Co. ,496 MAIN ST E,Authorized to Open
NORTH GOWER,CANNABIS XPRESS,"2333 CHURCH STREET, UNIT 3",Authorized to Open
NORTH YORK,12603411 CANADA INC ,934 WILSON AVE,Public Notice Period: Ended 2022/06/12
NORTH YORK,Above Clouds Ltd. ,1757 AVENUE RD,Authorized to Open
NORTH YORK,ASHARIO,1111 A FINCH AVE W UNIT 1,Authorized to Open
NORTH YORK,ASHARIO,6464 YONGE ST UNIT 187,Authorized to Open
NORTH YORK,Baker and Blazer Cannabis Co.,1881 STEELES AVE W SUITE 9,Authorized to Open
NORTH YORK,Budbar Express,380 WILSON AVE,Authorized to Open
NORTH YORK,Canna Cabana (Bathurst Steeles),6231 BATHURST ST,Authorized to Open
NORTH YORK,Canna Cabana Keele,2318 KEELE ST,Authorized to Open
NORTH YORK,Cannabis Masters,195 MILLWICK DR,Authorized to Open
NORTH YORK,CANNABIS STATION,2292 KEELE ST,Authorized to Open
NORTH YORK,Club Canapa Cannabis ,2 SATTERLY RD,Authorized to Open
NORTH YORK,DAMA House,5332 YONGE STREET,Authorized to Open
NORTH YORK,DAMA House,5332 YONGE STREET,In Progress
NORTH YORK,Dope Cannabis,3430 BATHURST ST,Authorized to Open
NORTH YORK,Eighth Cannabis,610 MARLEE AVE,Authorized to Open
NORTH YORK,Elevated Cannabis,3205 DUFFERIN ST,Authorized to Open
NORTH YORK,Euphoria Bud,1027 FINCH AVE W UNIT 4C,Authorized to Open
NORTH YORK,Fire & Flower Cannabis Co.,4205 KEELE ST UNIT 20,Authorized to Open
NORTH YORK,FIRE & FLOWER CANNABIS CO.,1616 WILSON AVE UNIT 1,Authorized to Open
NORTH YORK,FIRE & FLOWER CANNABIS CO.,1542 JANE ST UNIT 4,Authorized to Open
NORTH YORK,Fogtown Flower,1529-1531 STEELES AVE E,Authorized to Open
NORTH YORK,Fogtown Flower,640 FINCH AVE E,Authorized to Open
NORTH YORK,FOGTOWN FLOWER,4687 YONGE ST,Authorized to Open
NORTH YORK,Glow Cannabis,2851 WESTON RD,Authorized to Open
NORTH YORK,Go Hi Ltd ,18 SATTERLY RD,Authorized to Open
NORTH YORK,GREEN MARKET CANNABIS,2737 KEELE ST SUITE 29,Authorized to Open
NORTH YORK,GREENLIT,1230 SHEPPARD AVE W UNIT 6,In Progress
NORTH YORK,Havok Smoke Cannabis & Accessories,650 SHEPPARD AVE W,Authorized to Open
NORTH YORK,Hemisphere Cannabis Co.,1887 AVENUE RD,Authorized to Open
NORTH YORK,Hidden Leaf Cannabis Co.,701 LAWRENCE AVE W,Authorized to Open
NORTH YORK,Highlife on Finch Retail,1295 FINCH AVE W UNIT 1,Authorized to Open
NORTH YORK,HIGHLIFE YONGE AND STEELES,6375 YONGE ST,Authorized to Open
NORTH YORK,KANAB,865 YORK MILLS RD UNIT 18,Authorized to Open
NORTH YORK,LEVEL UP,155 MARTIN ROSS AVE UNIT 4,Authorized to Open
NORTH YORK,Local Products The Cannabis Store,704 WILSON AVE,Authorized to Open
NORTH YORK,Loosh,160 STEEPROCK DR UNIT 3,Public Notice Period: Ended 2023/07/01
NORTH YORK,MaryJane's Cannabis,2596 WESTON RD,Authorized to Open
NORTH YORK,Matchbox Cannabis,6115 STEELES AVE W,Authorized to Open
NORTH YORK,MEXICANNABIS,791 LAWRENCE AVE W,Authorized to Open
NORTH YORK,Modern Day Cannabis,4119 BATHURST ST UNIT 4,Authorized to Open
NORTH YORK,Moksha Cannabis,5 KENASTON GDNS UNIT 3,Authorized to Open
NORTH YORK,Northern Fire Cannabis,4801 STEELES AVE W SUITE 7,Public Notice Period: Ended 2023/09/28
NORTH YORK,OH CANNABIS,344 WILSON AVE,Authorized to Open
NORTH YORK,One Plant,1703 AVENUE RD,Authorized to Open
NORTH YORK,Paradise AIR ,650 SHEPPARD AVE E UNIT 7,Authorized to Open
NORTH YORK,Puffs Haven,5171 YONGE ST,Authorized to Open
NORTH YORK,Puffs Haven,10 NORTHTOWN WAY SUITE 107,Authorized to Open
NORTH YORK,PURPLE MOOSE,5984 BATHURST ST,Authorized to Open
NORTH YORK,PURPLE MOOSE,1305 LAWRENCE AVE W UNIT 1383,Authorized to Open
NORTH YORK,QUNUBU CANNABIS,274 WILSON AVE,Authorized to Open
NORTH YORK,Red Star Cannabis Co.,5235 STEELES AVE W UNIT 4,Authorized to Open
NORTH YORK,Scarlet Fire Cannabis,3852 BATHURST ST,Authorized to Open
NORTH YORK,SESSIONS CANNABIS NORTH YORK,4700 DUFFERIN ST UNIT 3,Authorized to Open
NORTH YORK,SPIRITLEAF 895 LAWRENCE AVENUE,"895 LAWRENCE AVE E, UNIT NO. A01001A ",Authorized to Open
NORTH YORK,Spot420 The Cannabis Store,1646 VICTORIA PARK AVE UNIT 8,Authorized to Open
NORTH YORK,Take Me Home Cannabis,820 WILSON AVE,Authorized to Open
NORTH YORK,Take Me Home Cannabis,3257 DUFFERIN ST,Authorized to Open
NORTH YORK,Take Off Cannabis,338 WILSON AVE,Authorized to Open
NORTH YORK,Taste Buds Cannabis,1193 LAWRENCE AVE W,Authorized to Open
NORTH YORK,The 420 Place ,1052A FINCH AVE W,Authorized to Open
NORTH YORK,The Trip House,850 WILSON AVE,Public Notice Period: Ended 2022/10/14
NORTH YORK,TOKE AND TELL CANNABIS,184 WILSON AVE,Authorized to Open
NORTH YORK,Tokyo Smoke,5095 YONGE ST UNIT A005,Authorized to Open
NORTH YORK,Tokyo Smoke 1819 Avenue,1819 AVENUE RD,Authorized to Open
NORTH YORK,TOKYO SMOKE SHOPS AT DON MILLS,1090 DON MILLS RD UNIT H008,Authorized to Open
NORTH YORK,Utopia Cannabis,1252 LAWRENCE AVE E UNIT 4,Authorized to Open
NORTH YORK,V&D Cannabis,2851 DUFFERIN ST,Authorized to Open
NORTH YORK,Value Buds,3300 DUFFERIN ST. UNIT E,Authorized to Open
NORTH YORK,Value Buds,2546 FINCH AVE W SUITE 12,Authorized to Open
NORTH YORK,Yerba Buena Cannabis,910 SHEPPARD AVE W,Authorized to Open
NORTH YORK ,One Plant North York,2181 STEELES AVE W UNIT B004 ,Authorized to Open
NORTHBROOK,41 Cannabis Company,12278 HIGHWAY 41 RR 1,Authorized to Open
NORTHYORK,Moksha Cannabis,4720 JANE ST UNIT 6,Authorized to Open
NORWOOD,Sparq Retail,2367 COUNTY ROAD 45,Authorized to Open
OLDCASTLE,COST CANNABIS,5580 WALKER RD UNIT 2 RR 1,Authorized to Open
OMEMEE,KAWARTHA SMOKE,1 KING ST E,Authorized to Open
ORANGEVILLE,Altered Nation Cannabis,218 BROADWAY,Authorized to Open
ORANGEVILLE,Broadway Cannabis,71 BROADWAY UNIT 2 ,Authorized to Open
ORANGEVILLE,Fire & Flower Cannabis Co.,121 BROADWAY,Authorized to Open
ORANGEVILLE,Hempire House,59 FIRST ST,Authorized to Open
ORANGEVILLE,HOLLAND DAZE,150 FIRST ST UNIT G4,Authorized to Open
ORANGEVILLE,PARAMOUNT CANNABIS CO.,215-245 CENTENNIAL ROAD G-C,Authorized to Open
ORANGEVILLE,SPOT 420,88 FIRST ST UNIT 4B,Authorized to Open
ORANGEVILLE,THE GREEN CLOUD CANNABIS,281 BROADWAY UNIT 3,Authorized to Open
ORILLIA,Bonnefire,34 MISSISSAGA ST E,Authorized to Open
ORILLIA,Buds 4 Less Cannabis Company,64 MISSISSAGA ST W SUITE 1,Authorized to Open
ORILLIA,HAPPY DAYZ,69 MISSISSAGA ST E,Authorized to Open
ORILLIA,Miss Jones,81 MISSISSAGA ST E,Authorized to Open
ORILLIA,Sessions Cannabis Orillia,30 DIANA DR,Authorized to Open
ORILLIA,ShinyBud Cannabis Co. 975 Orillia ,975 WEST RIDGE BLVD UNIT 517,Authorized to Open
ORILLIA,THE DEN CANNABIS STORE,660 ATHERLEY RD SUITE 5,Authorized to Open
ORILLIA,Uplift Cannabis,190 MEMORIAL AVE UNIT C,Authorized to Open
ORLEANS,Bud Room,900 WATTERS RD UNIT 7,Public Notice Period: Ended 2021/03/17
ORLEANS,BUDGET BUD ORLEANS TOWN CENTER,250 CENTRUM BLVD UNIT 105A,Authorized to Open
ORLEANS,GreenBank Cannabis Ltd.,2208 ST. JOSEPH BLVD UNIT 111,Public Notice Period: Ended 2023/08/16
ORLEANS,Highties Cannabis Store,385 TOMPKINS AVE UNIT 2A,Authorized to Open
ORLEANS,Highties Cannabis Store,2284 TENTH LINE RD. UNIT F5,Authorized to Open
ORLEANS,INSPIRED CANNABIS CO,6489 JEANNE D'ARC BLVD N,Authorized to Open
ORLEANS,Mary J's Cannabis,1968 PORTOBELLO BOULEVARD UNIT 2 ,Authorized to Open
ORLEANS,One Plant Orleans,4240 INNES RD UNIT J3,Authorized to Open
ORLEANS,Shiny Bud,5959 JEANNE D'ARC BLVD S,Authorized to Open
ORLEANS,SPIRITLEAF,2026 TENTH LINE RD UNIT B2,Authorized to Open
ORLEANS,The Oz Store,3022 ST. JOSEPH BLVD UNIT B,Authorized to Open
ORLEANS,Tokyo Smoke,2006 MER BLEUE RD UNIT G1,Authorized to Open
ORLEANS,Unplug Cannabis Co.,1375 TRIM RD UNIT 3,Authorized to Open
OSHAWA,Bud Runners Cannabis,191 BLOOR ST E UNIT 2,Authorized to Open
OSHAWA,BUDGET BUD OSHAWA,650 KING ST E UNIT 7,Authorized to Open
OSHAWA,Canna Buzz,142 SIMCOE ST S,Authorized to Open
OSHAWA,Canna Cabana,1383 WILSON RD N UNIT 1,Authorized to Open
OSHAWA,Cannabis & Co.,92 WOLFE ST SUITE 3A,Authorized to Open
OSHAWA,Cannabis Street,1100 SIMCOE ST N UNIT 3,Authorized to Open
OSHAWA,Daisy Cannabis,555 RITSON RD S,Authorized to Open
OSHAWA,FRIENDLY STRANGER,204 RITSON RD N SUITE C5.5,Authorized to Open
OSHAWA,Ganjika House Oshawa,575 THORNTON RD N UNIT 7,Authorized to Open
OSHAWA,Goode Vibes Cannabis,19 BOND ST E,Authorized to Open
OSHAWA,HAPPY WAY CANNABIS,8 MIDTOWN DR SUITE 2,Authorized to Open
OSHAWA,Kapn Chronic,12 SIMCOE ST S,In Progress
OSHAWA,Kryptonite Cannabis,555 ROSSLAND RD E UNIT D,Authorized to Open
OSHAWA,MARYJANE’S CANNABIS,1900 SIMCOE ST N UNIT 1,Authorized to Open
OSHAWA,MC CANNABIS ,1311 HARMONY RD N,Authorized to Open
OSHAWA,MIHI,"285 TAUNTON ROAD EAST (FIVE POINTS SHOPPING CENTRE), UNIT F405",In Progress
OSHAWA,Northern Helm Cannabis,199 WENTWORTH ST W UNIT 9,Authorized to Open
OSHAWA,Northern Tokes,474 SIMCOE ST S UNIT 2,Authorized to Open
OSHAWA,Old West Cannabis Company,215 KING ST E,Authorized to Open
OSHAWA,One Stop Cannabis,30 PARK RD N UNIT 2,Authorized to Open
OSHAWA,Phoenix Cannabis,12 SIMCOE ST S,Authorized to Open
OSHAWA,PURPLE MOOSE,575 LAVAL DR SUITE 400,Authorized to Open
OSHAWA,Sessions Cannabis Oshawa,1 WARREN AVE UNIT 104,Authorized to Open
OSHAWA,Spot420 The Cannabis Store,682 HORTOP ST,Authorized to Open
OSHAWA,Stash & Co,843 KING ST W,Authorized to Open
OSHAWA,That Happy Company,20 SIMCOE ST S,Authorized to Open
OSHAWA,The Nug Co.,514 RITSON RD S,Public Notice Period: Ended 2022/02/24
OSHAWA,The Peace Pipe,31 CELINA ST,Authorized to Open
OSHAWA,Tokyo Smoke,400 KING ST W UNIT 7,Authorized to Open
OSHAWA,True North Cannabis Co.,1076 CEDAR ST SUITE 3,Authorized to Open
OSHAWA,YBH Green,333 KING ST W UNIT 3,Authorized to Open
OSHAWA,Yield Cannabis Co.,944 SIMCOE ST N,Public Notice Period: Ended 2020/07/29
OSHAWA ,FIKA LOCAL CANNABIS,1445 HARMONY RD N UNIT 100,Authorized to Open
OSHAWA ,Spiritleaf,250 TAUNTON RD EAST UNIT 12,Authorized to Open
OTTAWA, The Hunny Pot Cannabis Co,"1642 MERIVALE RD, UNIT A01014A",Authorized to Open
OTTAWA,500 Preston Tokyo Smoke,500 PRESTON ST,In Progress
OTTAWA,Athena Cannabis,782 EAGLESON RD UNIT D4,Authorized to Open
OTTAWA,Big Sky Cannabis,324 SOMERSET ST W,In Progress
OTTAWA,BlueBird Cannabis Co,27 YORK ST,Public Notice Period: Ended 2021/10/03
OTTAWA,BLUEBIRD CANNABIS CO.,5530 MANOTICK MAIN ST UNIT 1B,Authorized to Open
OTTAWA,BLUEBIRD CANNABIS CO. BANK ST,208 BANK ST,Authorized to Open
OTTAWA,BLUEBIRD CANNABIS CO. CLARENCE STREET,121 CLARENCE ST,Authorized to Open
OTTAWA,BlueBird Cannabis Express ,3500 HAWTHORNE RD UNIT C,Authorized to Open
OTTAWA,Bluebird Cannabis Gladstone,502 GLADSTONE AVE,Authorized to Open
OTTAWA,Buzzed Buds,179 GEORGE ST UNIT 101,Authorized to Open
OTTAWA,BYTOWN BUDZZ,373 SOMERSET ST W,Authorized to Open
OTTAWA,CANNA CABANA,87 CLARENCE ST,Authorized to Open
OTTAWA,CANNA CABANA,111 RIDEAU ST,Authorized to Open
OTTAWA,Canna Cabana,1910 ST. LAURENT BLVD UNIT C003,Authorized to Open
OTTAWA,CANNA NORTH CANNABIS STORE,800 HUNT CLUB RD UNIT 3,Authorized to Open
OTTAWA,CANNA NORTH CANNABIS STORE,2547A BASELINE RD,Authorized to Open
OTTAWA,Cannabis Emporium,243-245 BANK ST,Authorized to Open
OTTAWA,Capital Cannabis,352 PRESTON ST,Authorized to Open
OTTAWA,Cheech & Chung Cannabis ,838 SOMERSET ST W SUITE 60,Authorized to Open
OTTAWA,CHRONTACT CANNABIS,2280 CARLING AVE SUITE 1,Authorized to Open
OTTAWA,CK Cannabis,1575 ST. LAURENT BLVD,Authorized to Open
OTTAWA,Collective Growers,534 MONTREAL RD,Authorized to Open
OTTAWA,Collective Growers,148 SPARKS ST,Authorized to Open
OTTAWA,Collective Growers,312 SOMERSET ST E,Authorized to Open
OTTAWA,Creekside Greens,1192 BANK ST,Authorized to Open
OTTAWA,Electrical Banana,693 SOMERSET ST W,Authorized to Open
OTTAWA,FIRE & FLOWER CANNABIS CO.,129 YORK ST,Authorized to Open
OTTAWA,Flower Haze Cannabis Boutique ,1571 BANK ST,Authorized to Open
OTTAWA,Good Nature Cannabis ,1234 MERIVALE RD SUITE 5,Authorized to Open
OTTAWA,HeavenlyHemp,1727A ST. LAURENT BLVD,Authorized to Open
OTTAWA,HEMISPHERE CANNABIS CO.,171 RIDEAU ST,Authorized to Open
OTTAWA,HIGH LITE CANNABIS STORE,1581 BANK ST UNIT B,Authorized to Open
OTTAWA,Highties Cannabis Store,484 RIDEAU ST,Authorized to Open
OTTAWA,Highties Cannabis Store,3320 MCCARTHY RD UNIT 2006,Authorized to Open
OTTAWA,HIGHTIES CANNABIS STORE,2518 - 2520 INNES ROAD,Authorized to Open
OTTAWA,I LOVE CANNABIS,928 MONTREAL RD UNIT 3,Authorized to Open
OTTAWA,KANA LEAF CANNABIS,418 RICHMOND RD,Authorized to Open
OTTAWA,MC CANNABIS,108 SPARKS ST UNIT 2,In Progress
OTTAWA,Munchies Cannabis,131 BEECHWOOD AVE SUITE B,Authorized to Open
OTTAWA,Natural Mystic Cannabis & CBD,5556 MANOTICK MAIN ST UNIT 4,Authorized to Open
OTTAWA,OLYMPIA CANNABIS,327 BANK ST,Public Notice Period: Ended 2020/07/30
OTTAWA,ONE PLANT GLEBE,900 BANK ST UNIT 150,Authorized to Open
OTTAWA,Ouid,423 RICHMOND RD,In Progress
OTTAWA,Pakalolo,258 ELGIN ST,Authorized to Open
OTTAWA,PAKALOLO,2786A LANCASTER RD,Authorized to Open
OTTAWA,Planet Earth Cannabis,1666 BANK ST SUITE 600,Authorized to Open
OTTAWA,Planet Earth Cannabis ,3685 RIVERSIDE DR,Authorized to Open
OTTAWA,Plateau,440 PRESTON ST,Authorized to Open
OTTAWA,Purple Meadow Cannabis,366 RIDEAU ST,Authorized to Open
OTTAWA,Purple Meadow Cannabis ,2430 BANK ST UNIT 6,Authorized to Open
OTTAWA,RABBT HOLE,503 RIDEAU ST,Authorized to Open
OTTAWA,Secret Garden Cannabis,1018 WELLINGTON ST W,Authorized to Open
OTTAWA,SESSIONS CANNABIS - OTTAWA,603 SOMERSET ST W,Authorized to Open
OTTAWA,Shinybud cannabis co. 2702 Alta Vista Ottawa,2702 ALTA VISTA DR,Authorized to Open
OTTAWA,SHINYBUD CANNABIS CO. CARLING OTTAWA,2200 CARLING AVE,Authorized to Open
OTTAWA,SHINYBUD CANNABIS CO. HERONGATE SQUARE,"1670 HERON RD, UNIT A1.3-A1.4",In Progress
OTTAWA,SHINYBUD CANNABIS CO. ROBERTSON OTTAWA,2090 ROBERTSON RD UNIT J,Authorized to Open
OTTAWA,Spiritleaf 1200B Wellington Street West,1200B WELLINGTON ST W,Authorized to Open
OTTAWA,SPIRITLEAF 888 MEADOWLANDS DRIVE EAST,888 MEADOWLANDS DR E UNIT 7,Authorized to Open
OTTAWA,Spiritleaf South Keys,1009 DAZE ST UNIT D,Authorized to Open
OTTAWA,STASH AND CO.,391 BANK ST,Authorized to Open
OTTAWA,SUPERETTE,1306 WELLINGTON ST W UNIT 100,Authorized to Open
OTTAWA,Superette,140-142 FIFTH AVE,Authorized to Open
OTTAWA,The Big Bamboo Cannabis Company,144 RENFREW AVE UNIT C1,Authorized to Open
OTTAWA,The Good Cannabis Company,809 BANK ST,Authorized to Open
OTTAWA,The Herbary,1301 RICHMOND RD,Authorized to Open
OTTAWA,The Hunny Pot Cannabis Co,1405 CARLING AVE UNIT 1395,Authorized to Open
OTTAWA,The Oz Store,294 SOMERSET ST W,Authorized to Open
OTTAWA,Tokyo Smoke,234 LAURIER AVE W,Authorized to Open
OTTAWA,Tokyo Smoke Richmond Road,297 RICHMOND RD UNIT A,Authorized to Open
OTTAWA,Tokyo Smoke Rideau Centre,50 RIDEAU ST UNIT 123B,Authorized to Open
OTTAWA,TOKYO SMOKE WELLINGTON ST,1000 WELLINGTON ST W UNIT 101,Authorized to Open
OTTAWA,True North Cannabis Co. ,1262.5 WELLINGTON ST WEST,Authorized to Open
OTTAWA,TWEED,204 RIDEAU STREET,Authorized to Open
OTTAWA,Tweed,1970 WALKLEY RD,Public Notice Period: Ended 2022/02/07
OTTAWA,Twist Cannabis,565 BRONSON AVE,Authorized to Open
OTTAWA,Unplug Cannabis Co.,261 RICHMOND ROAD   ,Authorized to Open
OWEN SOUND,Buds 4 Less Cannabis Company,2125 16TH ST E UNIT H3,Authorized to Open
OWEN SOUND,Cannabis Grey Bruce,236 8TH ST E,Authorized to Open
OWEN SOUND,Capturing Eden,973 2ND AVE W,Authorized to Open
OWEN SOUND,Moonfire Cannabis,1050 2ND AVE E SUITE 5,Authorized to Open
OWEN SOUND,SPIRITLEAF OWEN SOUND,910 2ND AVE E SUITE 912,Authorized to Open
OWEN SOUND,True North Cannabis Co.,UNIT #2 - 978 THIRD AVE,Authorized to Open
PAKENHAM,Bluebird Pakenham,2545 COUNTY ROAD 29,Authorized to Open
PALMERSTON,VIP Cannabis Company,214 MAIN ST W UNIT 2,Authorized to Open
PARIS,Chillin Buds,1 HARTLEY AVE BUILDING A UNIT A6,Public Notice Period: Ended 2023/05/30
PARIS ,Chillin' Buds,1070 REST ACRES RD UNIT D2,Authorized to Open
PARKHILL,STELLAR BUD,249 PARKHILL MAIN ST,Authorized to Open
PARRY SOUND,Dutch Love Cannabis,1 PINE DR BUILDING C UNIT 7 ,Authorized to Open
PARRY SOUND,Giggle Leaf,1 HORSESHOE LAKE ROAD,Authorized to Open
PARRY SOUND,True North Cannabis Co.,34 SEGUIN ST,Authorized to Open
PARRY SOUND,Value Buds,1 PINE DR BUILDING C UNIT 7 ,In Progress
PARRY SOUND,Windswept Cannabis ,78 CHURCH ST,Authorized to Open
PEFFERLAW,FOREST PLANT,254 PEFFERLAW RD,Authorized to Open
PEMBROKE,COLLECTIVE GROWERS,79 PEMBROKE ST W,Authorized to Open
PEMBROKE,Kushys,100 PEMBROKE ST E SUITE A,Authorized to Open
PEMBROKE,OVCS,1035 PEMBROKE ST E,Authorized to Open
PEMBROKE,Pop's Cannabis Co.,1100 PEMBROKE ST E UNIT 300A,Authorized to Open
PEMBROKE,Valley Cannabis,820 PEMBROKE ST E,Authorized to Open
PENETANGUISHENE,Malibu Munchies,118 MAIN ST,Authorized to Open
PENETANGUISHENE,POP'S CANNABIS CO. PENETANG,175 MAIN ST UNIT 4,Authorized to Open
PENETANGUISHENE,Speakeasy Cannabis,"68 MAIN STREET, UNIT 1",Authorized to Open
PERTH,Olympia Cannabis Perth O/C Perth,88 GORE ST E,Authorized to Open
PERTH,One Plant,80 DUFFERIN ST UNIT 100,In Progress
PERTH,PERTH CANNABIS,23 WILSON ST W SUITE B,Authorized to Open
PERTH,SHINYBUD CANNABIS CO. 80 DUFFERIN,80 DUFFERIN ST UNIT 100,Authorized to Open
PERTH,The Cannabis Shop,95 DUFFERIN ST UNIT A,Authorized to Open
PERTH EAST,VIP Cannabis Company,3997 PERTH RD 107,Authorized to Open
PETAWAWA,Kushys,3025 PETAWAWA BLVD UNIT 11,Authorized to Open
PETAWAWA,Petawawa Cannabis Store,3241 PETAWAWA BLVD,Authorized to Open
PETAWAWA,Prairie and Luna Cannabis Co.,3067 PETAWAWA BLVD SUITE 2,Authorized to Open
PETERBOROUGH,Bongo's Lifestyles Inc.,374 GEORGE ST N,Authorized to Open
PETERBOROUGH,COST CANNABIS - PETERBOROUGH,1135 LANSDOWNE ST W UNIT 9,Authorized to Open
PETERBOROUGH,Fallen Giants,172 SIMCOE ST,Authorized to Open
PETERBOROUGH,GROWERS RETAIL,225 GEORGE ST N,Authorized to Open
PETERBOROUGH,Highlife Cannabis Peterborough,119 GEORGE ST N,Authorized to Open
PETERBOROUGH,Kasa Kana,1840 LANSDOWNE ST W UNIT 8,Authorized to Open
PETERBOROUGH,KAWARTHA LEAFS,1535 WATER ST UNIT 2,Authorized to Open
PETERBOROUGH,Lush Cannabis Company,139 GEORGE ST N UNIT 2,Authorized to Open
PETERBOROUGH,Mellow Leaf,724 LANSDOWNE ST W,Authorized to Open
PETERBOROUGH,Miss Jones,1154 CHEMONG ROAD,Authorized to Open
PETERBOROUGH,NORTHERN LIGHTS CANNABIS,51 LANSDOWNE ST W,Authorized to Open
PETERBOROUGH,One Plant Peterborough Landsdowne,999 LANSDOWNE ST W UNIT 8,Authorized to Open
PETERBOROUGH,Sessions Cannabis Peterborough,550 LANSDOWNE ST W UNIT 15,Authorized to Open
PETERBOROUGH,SPARQ RETAIL,340 CHARLOTTE ST,Authorized to Open
PETERBOROUGH,Sparq Retail,861 LANSDOWNE ST W UNIT 4,Authorized to Open
